,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,6,6,Random,Solved,1,62,0.001726,2500,"(3, 1)","(1, 1)",2
1,6,6,No_reverse,Solved,1,1,0.000055,2500,"(3, 1)","(1, 1)",2
2,6,6,Breadth-first,Solved,1,1,0.000425,2500,"(3, 1)","(1, 1)",2
3,6,6,Depth-first,Solved,1,52,0.001505,2500,"(3, 1)","(1, 1)",2
4,6,7,Random,Solved,1,5,0.000159,2500,"(3, 1)","(1, 1)",2
5,6,7,No_reverse,Solved,1,11,0.000304,2500,"(3, 1)","(1, 1)",2
6,6,7,Breadth-first,Solved,1,14,0.020833,2500,"(3, 1)","(1, 1)",2
7,6,7,Depth-first,Solved,1,74,0.003307,2500,"(3, 1)","(1, 1)",2
8,6,8,Random,Solved,1,77,0.002571,2500,"(3, 1)","(1, 1)",2
9,6,8,No_reverse,Solved,1,7,0.000241,2500,"(3, 1)","(1, 1)",2
10,6,8,Breadth-first,Solved,1,1,0.000394,2500,"(3, 1)","(1, 1)",2
11,6,8,Depth-first,Solved,1,4,0.000157,2500,"(3, 1)","(1, 1)",2
12,6,9,Random,Solved,1,22,0.000795,2500,"(3, 1)","(1, 1)",2
13,6,9,No_reverse,Solved,1,5,0.000192,2500,"(3, 1)","(1, 1)",2
14,6,9,Breadth-first,Solved,1,1,0.000398,2500,"(3, 1)","(1, 1)",2
15,6,9,Depth-first,Solved,1,11,0.000431,2500,"(3, 1)","(1, 1)",2
16,6,10,Random,Solved,1,16,0.000742,2500,"(3, 1)","(1, 1)",2
17,6,10,No_reverse,Solved,1,343,0.029762,2500,"(3, 1)","(1, 1)",2
18,6,10,Breadth-first,Solved,1,1564,0.865202,2500,"(3, 1)","(1, 1)",2
19,6,10,Depth-first,Solved,1,590,0.047566,2500,"(3, 1)","(1, 1)",2
20,6,11,Random,Solved,1,54,0.004240,2500,"(3, 1)","(1, 1)",2
21,6,11,No_reverse,Solved,1,492,0.025747,2500,"(3, 1)","(1, 1)",2
22,6,11,Breadth-first,Unsolved,1,2500,1.272227,2500,"(3, 1)","(1, 1)",2
23,6,11,Depth-first,Solved,1,498,0.037632,2500,"(3, 1)","(1, 1)",2
24,6,12,Random,Unsolved,1,2500,0.187820,2500,"(3, 1)","(1, 1)",2
25,6,12,No_reverse,Unsolved,1,2500,0.162686,2500,"(3, 1)","(1, 1)",2
26,6,12,Breadth-first,Unsolved,1,2500,1.347026,2500,"(3, 1)","(1, 1)",2
27,6,12,Depth-first,Unsolved,1,2500,0.191006,2500,"(3, 1)","(1, 1)",2
28,6,13,Random,Solved,1,208,0.022547,2500,"(3, 1)","(1, 1)",2
29,6,13,No_reverse,Solved,1,118,0.005099,2500,"(3, 1)","(1, 1)",2
30,6,13,Breadth-first,Solved,1,51,0.047195,2500,"(3, 1)","(1, 1)",2
31,6,13,Depth-first,Solved,1,49,0.007518,2500,"(3, 1)","(1, 1)",2
32,6,14,Random,Unsolved,1,2500,0.152732,2500,"(3, 1)","(1, 1)",2
33,6,14,No_reverse,Unsolved,1,2500,0.203800,2500,"(3, 1)","(1, 1)",2
34,6,14,Breadth-first,Unsolved,1,2500,1.553468,2500,"(3, 1)","(1, 1)",2
35,6,14,Depth-first,Unsolved,1,2500,0.208769,2500,"(3, 1)","(1, 1)",2
36,6,15,Random,Solved,1,24,0.001001,2500,"(3, 1)","(1, 1)",2
37,6,15,No_reverse,Solved,1,11,0.000453,2500,"(3, 1)","(1, 1)",2
38,6,15,Breadth-first,Solved,1,18,0.034117,2500,"(3, 1)","(1, 1)",2
39,6,15,Depth-first,Solved,1,79,0.003313,2500,"(3, 1)","(1, 1)",2
40,6,6,Random,Solved,1,24,0.000788,2500,"(3, 1)","(1, 1)",2
