,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,485,0.041849,2500,"(1, 3)","(1, 1)",2
1,9,20,No_reverse,Solved,1,493,0.042929,2500,"(1, 3)","(1, 1)",2
2,9,20,Breadth-first,Unsolved,1,2500,1.175159,2500,"(1, 3)","(1, 1)",2
3,9,20,Depth-first,Solved,1,43,0.004161,2500,"(1, 3)","(1, 1)",2
4,9,21,Random,Solved,1,126,0.017764,2500,"(1, 3)","(1, 1)",2
5,9,21,No_reverse,Solved,1,135,0.012328,2500,"(1, 3)","(1, 1)",2
6,9,21,Breadth-first,Solved,1,326,0.142332,2500,"(1, 3)","(1, 1)",2
7,9,21,Depth-first,Solved,1,198,0.017897,2500,"(1, 3)","(1, 1)",2
8,9,22,Random,Unsolved,1,2500,0.214524,2500,"(1, 3)","(1, 1)",2
9,9,22,No_reverse,Unsolved,1,2500,0.211961,2500,"(1, 3)","(1, 1)",2
10,9,22,Breadth-first,Unsolved,1,2500,1.326725,2500,"(1, 3)","(1, 1)",2
11,9,22,Depth-first,Unsolved,1,2500,0.213548,2500,"(1, 3)","(1, 1)",2
12,9,23,Random,Unsolved,1,2500,0.187723,2500,"(1, 3)","(1, 1)",2
13,9,23,No_reverse,Unsolved,1,2500,0.193974,2500,"(1, 3)","(1, 1)",2
14,9,23,Breadth-first,Unsolved,1,2500,1.287189,2500,"(1, 3)","(1, 1)",2
15,9,23,Depth-first,Unsolved,1,2500,0.197445,2500,"(1, 3)","(1, 1)",2
16,9,24,Random,Solved,1,895,0.080006,2500,"(1, 3)","(1, 1)",2
17,9,24,No_reverse,Unsolved,1,2500,0.216393,2500,"(1, 3)","(1, 1)",2
18,9,24,Breadth-first,Unsolved,1,2500,1.327524,2500,"(1, 3)","(1, 1)",2
19,9,24,Depth-first,Unsolved,1,2500,0.216523,2500,"(1, 3)","(1, 1)",2
20,9,25,Random,Unsolved,1,2500,0.236891,2500,"(1, 3)","(1, 1)",2
21,9,25,No_reverse,Unsolved,1,2500,0.233859,2500,"(1, 3)","(1, 1)",2
22,9,25,Breadth-first,Unsolved,1,2500,1.459477,2500,"(1, 3)","(1, 1)",2
23,9,25,Depth-first,Unsolved,1,2500,0.336172,2500,"(1, 3)","(1, 1)",2
24,9,26,Random,Unsolved,1,2500,0.363163,2500,"(1, 3)","(1, 1)",2
25,9,26,No_reverse,Unsolved,1,2500,0.210247,2500,"(1, 3)","(1, 1)",2
26,9,26,Breadth-first,Unsolved,1,2500,1.382070,2500,"(1, 3)","(1, 1)",2
