game,unique states after 1000 moves
0,673
1,740
2,745
3,715
4,696
5,678
6,762
7,774
8,740
9,747
10,716
11,627
12,730
13,736
14,639
15,761
16,728
17,747
18,740
19,715
20,691
21,609
22,754
23,668
24,731
25,729
26,671
27,682
28,713
29,732
30,689
31,707
32,677
33,752
34,724
35,730
36,757
37,753
38,738
39,689
40,720
41,712
42,688
43,708
44,693
45,722
46,718
47,745
48,704
49,756
50,695
51,656
52,682
53,594
54,717
55,735
56,746
57,665
58,686
59,714
60,680
61,661
62,654
63,651
64,738
65,702
66,711
67,649
68,699
69,742
70,763
71,660
72,681
73,677
74,652
75,677
76,678
77,766
78,642
79,754
80,746
81,768
82,557
83,682
84,729
85,651
86,709
87,762
88,668
89,714
90,720
91,664
92,726
93,768
94,783
95,755
96,652
97,699
98,726
99,734
100,619
101,709
102,585
103,648
104,684
105,644
106,596
107,670
108,738
109,643
110,706
111,772
112,750
113,686
114,691
115,696
116,764
117,719
118,695
119,703
120,608
121,700
122,751
123,722
124,608
125,652
126,644
127,754
128,666
129,753
130,742
131,729
132,727
133,683
134,655
135,732
136,703
137,608
138,756
139,741
140,689
141,638
142,691
143,701
144,725
145,680
146,694
147,666
148,731
149,701
150,637
151,705
152,717
153,672
154,763
155,737
156,680
157,689
158,753
159,686
160,742
161,723
162,657
163,671
164,692
165,700
166,667
167,690
168,712
169,650
170,632
171,658
172,641
173,719
174,679
175,757
176,713
177,627
178,747
179,742
180,680
181,719
182,668
183,680
184,727
185,744
186,695
187,707
188,746
189,739
190,714
191,777
192,748
193,733
194,635
195,730
196,726
197,743
198,651
199,695
200,710
201,703
202,681
203,734
204,659
205,721
206,699
207,701
208,654
209,749
210,690
211,639
212,739
213,336
214,697
215,701
216,679
217,762
218,711
219,732
220,746
221,743
222,686
223,714
224,760
225,699
226,724
227,720
228,758
229,668
230,698
231,737
232,638
233,752
234,703
235,701
236,675
237,711
238,684
239,743
240,729
241,765
242,650
243,608
244,730
245,713
246,742
247,719
248,715
249,699
250,718
251,724
252,673
253,718
254,717
255,690
256,666
257,760
258,766
259,734
260,729
261,702
262,735
263,544
264,591
265,670
266,663
267,744
268,747
269,658
270,708
271,713
272,721
273,694
274,716
275,742
276,765
277,641
278,725
279,762
280,625
281,696
282,656
283,718
284,648
285,620
286,753
287,775
288,714
289,713
290,676
291,719
292,741
293,636
294,544
295,724
296,767
297,713
298,639
299,529
300,695
301,697
302,711
303,730
304,586
305,741
306,709
307,658
308,713
309,686
310,723
311,691
312,726
313,653
314,717
315,753
316,642
317,735
318,657
319,667
320,719
321,775
322,695
323,720
324,769
325,762
326,665
327,701
328,511
329,703
330,761
331,708
332,701
333,718
334,722
335,734
336,717
337,670
338,744
339,729
340,716
341,739
342,698
343,729
344,568
345,713
346,758
347,758
348,759
349,757
350,734
351,686
352,709
353,712
354,710
355,653
356,743
357,747
358,711
359,756
360,736
361,683
362,662
363,743
364,637
365,723
366,777
367,757
368,712
369,710
370,631
371,750
372,680
373,755
374,765
375,669
376,621
377,679
378,711
379,681
380,725
381,733
382,697
383,744
384,706
385,691
386,690
387,699
388,721
389,732
390,743
391,741
392,779
393,746
394,732
395,661
396,778
397,702
398,737
399,667
400,654
401,679
402,651
403,658
404,703
405,649
406,697
407,707
408,592
409,735
410,656
411,628
412,746
413,726
414,732
415,737
416,728
417,743
418,688
419,640
420,704
421,692
422,717
423,740
424,761
425,689
426,699
427,692
428,691
429,680
430,698
431,671
432,693
433,672
434,643
435,690
436,724
437,718
438,755
439,740
440,728
441,587
442,740
443,649
444,670
445,652
446,687
447,729
448,766
449,684
450,377
451,753
452,762
453,669
454,721
455,747
456,615
457,726
458,737
459,640
460,701
461,726
462,730
463,764
464,741
465,795
466,628
467,650
468,674
469,641
470,639
471,767
472,724
473,641
474,721
475,710
476,721
477,686
478,727
479,774
480,705
481,665
482,716
483,619
484,744
485,734
486,691
487,730
488,696
489,730
490,735
491,731
492,635
493,720
494,682
495,680
496,677
497,679
498,755
499,682
500,715
501,713
502,687
503,774
504,708
505,388
506,622
507,696
508,648
509,733
510,676
511,746
512,644
513,735
514,615
515,661
516,706
517,554
518,464
519,735
520,732
521,713
522,777
523,758
524,682
525,632
526,743
527,734
528,754
529,673
530,655
531,716
532,730
533,689
534,759
535,723
536,721
537,725
538,713
539,749
540,742
541,707
542,712
543,703
544,705
545,732
546,708
547,750
548,709
549,724
550,751
551,677
552,687
553,736
554,690
555,710
556,753
557,707
558,707
559,706
560,721
561,714
562,696
563,686
564,653
565,590
566,643
567,673
568,653
569,626
570,683
571,669
572,772
573,704
574,668
575,759
576,637
577,724
578,705
579,702
580,711
581,782
582,699
583,700
584,748
585,767
586,664
587,754
588,676
589,723
590,626
591,754
592,772
593,759
594,778
595,761
596,695
597,735
598,754
599,733
600,738
601,779
602,749
603,767
604,716
605,759
606,686
607,742
608,683
609,664
610,712
611,639
612,747
613,742
614,744
615,719
616,707
617,745
618,700
619,709
620,656
621,673
622,725
623,701
624,720
625,580
626,750
627,710
628,760
629,678
630,732
631,742
632,765
633,653
634,755
635,723
636,754
637,759
638,782
639,749
640,733
641,549
642,744
643,720
644,736
645,518
646,735
647,714
648,698
649,690
650,714
651,691
652,738
653,700
654,739
655,754
656,647
657,645
658,603
659,728
660,742
661,764
662,716
663,568
664,680
665,728
666,649
667,655
668,732
669,767
670,697
671,725
672,728
673,753
674,658
675,724
676,734
677,729
678,533
679,748
680,704
681,741
682,698
683,759
684,753
685,607
686,727
687,687
688,724
689,710
690,709
691,742
692,728
693,752
694,745
695,738
696,705
697,473
698,717
699,628
700,757
701,712
702,748
703,714
704,684
705,728
706,743
707,720
708,728
709,708
710,701
711,751
712,747
713,709
714,752
715,670
716,748
717,762
718,681
719,724
720,672
721,663
722,700
723,729
724,786
725,677
726,726
727,704
728,765
729,731
730,681
731,673
732,732
733,709
734,651
735,758
736,709
737,678
738,773
739,615
740,741
741,718
742,750
743,730
744,637
745,648
746,694
747,600
748,736
749,779
750,723
751,654
752,628
753,641
754,718
755,725
756,718
757,619
758,659
759,752
760,711
761,664
762,738
763,671
764,741
765,716
766,678
767,677
768,637
769,496
770,711
771,717
772,733
773,585
774,685
775,664
776,746
777,715
778,676
779,703
780,724
781,743
782,726
783,661
784,773
785,655
786,700
787,659
788,761
789,687
790,678
791,635
792,688
793,676
794,744
795,687
796,740
797,704
798,632
799,639
800,704
801,721
802,673
803,683
804,719
805,693
806,689
807,713
808,679
809,777
810,746
811,669
812,766
813,742
814,725
815,708
816,756
817,706
818,750
819,643
820,571
821,661
822,744
823,694
824,745
825,723
826,723
827,767
828,736
829,703
830,680
831,633
832,656
833,648
834,699
835,667
836,707
837,754
838,696
839,503
840,646
841,725
842,691
843,617
844,703
845,724
846,769
847,695
848,687
849,720
850,753
851,648
852,754
853,732
854,244
855,722
856,622
857,643
858,706
859,682
860,757
861,619
862,624
863,720
864,706
865,696
866,622
867,755
868,734
869,726
870,712
871,649
872,698
873,740
874,676
875,688
876,735
877,683
878,752
879,716
880,722
881,520
882,694
